id_account,nome_club,nome_account_locale,identificativo_lions,tipo,circoscrizione,zona,distretto,multidistretto,id_organizzazione_appartenenza,parent_parent_id,parent_district_id,id_md_appartenenza,identificativo_lions_affiliato
001Ns00000EDlQt,ABETONE MONTAGNA PISTOIESE,ABETONE MONTAGNA PISTOIESE,21163,Lions Club,3° Circoscrizione,Zone: F,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlRO,ALTA MAREMMA,ALTA MAREMMA,21195,Lions Club,6° circoscrizione,Zone: M,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDMlP,ANTICHE VALLI LUCCHESI,ANTICHE VALLI LUCCHESI,39557,Lions Club,4° circoscrizione,Zone: G,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDmOX,Arezzo Chimera,Arezzo Chimera,129509,Lions Club,7° circoscrizione,Zone: P,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlQv,AREZZO HOST,AREZZO HOST,21165,Lions Club,7° circoscrizione,Zone: P,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDndx,AREZZO MECENATE,AREZZO MECENATE,56866,Lions Club,7° circoscrizione,Zone: P,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDFfs,AREZZO NORD EST,AREZZO NORD EST,48118,Lions Club,7° circoscrizione,Zone: P,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDn10,BARBERINO - TAVARNELLE,BARBERINO - TAVARNELLE,56851,Lions Club,1° circoscrizione,Zone: B,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDiWH,CASENTINO,CASENTINO,33877,Lions Club,7° circoscrizione,Zone: P,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDhWI,"CASTIGLIONE DELLA PESCAIA ""SALEBRUM""","CASTIGLIONE DELLA PESCAIA ""SALEBRUM""",118838,Lions Club,6° circoscrizione,Zone: M,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlR2,CECINA,CECINA,21172,Lions Club,5° circoscrizione,Zone: L,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
