id_attivita,id_account_club,nome_club_sponsor,titolo,descrizione,stato,rapporto_completo,livello_attivita,causa,tipo_progetto,attivita_distintiva,finanziata_lcif,data_inizio,data_conclusione,persone_servite,persone_servite_limite,totale_volontari,totale_ore_servizio,totale_ore_servizio_capped,alberi_piantati,valuta_fondi_donati,totale_fondi_donati,fondi_donati_usd_capped,donazione_lcif,organizzazione_beneficiata,valuta_fondi_raccolti,totale_fondi_raccolti,fondi_raccolti_usd_capped,creato_da
SA-07746420,001Ns00000EDgRMIA1,ABETONE MONTAGNA PISTOIESE,Foundation Annual Report: 41^ Campionati Italiani Sci Lions Open,L'attività posta in essere -oltre a creare ed implementare una rete amicale e collaborativa tra i Soci dei diversi Clubs partecipanti- è utile a raccogliere fondi destinati a sostenere economicamente alcune importanti realtà locali bisognose di un supporto.,Comunicato,True,Lions Club,Altro servizio umanitario,Altro,False,False,2024-07-01,2025-06-30,130,130,13,55.00,55.00,,USD,6000.00,6000.00,0,Not specified,USD,6000.00,6000.00,Sara Glas
SA-07634021,001Ns00000EDgRMIA1,ALTA MAREMMA,DIRETTIVO,"Direttivo con sede al Ristorante Il Leccio Massa M/Ma. 
Approvato status di socio aggregato per Cavagna e Maestrini, illustrato organigramma di Club e l'annata sociale 2025-2026",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-07-25,2025-07-25,0,0,9,27.00,27.00,,USD,0.00,0.00,0,,USD,0.00,0.00,Adriano Mazzone
SA-07636649,001Ns00000EDgRMIA1,ALTA MAREMMA,RIUNIONE DELLE CARICHE - TORRE DEL LAGO,"Partecipazione alla riunione delle cariche del Presidente, Segretario, Presidente di Zona, DO Puggelli e DO Aguggeri",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-07-05,2025-07-05,,0,5,35.00,35.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-07636661,001Ns00000EDgRMIA1,ALTA MAREMMA,RIUNIONE DIRETTIVO DI CLUB,"Riunione del Direttivo ristretto di Club, Presidente, Segretario, Tesoriere e Cerimoniere per definire il programma dell'anno",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-07-10,2025-07-10,,0,4,12.00,12.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-07661519,001Ns00000EDgRMIA1,ALTA MAREMMA,INCONTRO CON SINDACO MASSA MARITTIMA,Incontro del presidente e del segretario di Club con il Sindaco di Massa M/ma per definire la data e l'argomento da sviluppare per il Meeting di apertura di ottobre.,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,True,False,2025-07-17,2025-07-17,,0,2,4.00,4.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-07703542,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta attività sanitarie gratuite,fornire attività di supporto ambulatoriale di tipo psicologico (Achille Aguggeri) a persone non abbienti in centro sanitario per il quale forniamo il direttore sanitario (Maurizio Spagnesi),Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,True,False,2025-07-01,2025-07-27,20,20,2,24.00,24.00,,EUR,3000.00,3516.38,0,Massadotta,EUR,3000.00,3516.38,Maurizio Spagnesi
SA-07802622,001Ns00000EDgRMIA1,ALTA MAREMMA,Riunione di Club,Riunione del Presidente con il segretario ed il Cerimoniere per definire programma della gita sociale ed attività su Follonica,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-08-08,2025-08-08,0,0,3,6.00,6.00,,USD,0.00,0.00,0,,USD,0.00,0.00,Maurizio Spagnesi
SA-08097695,001Ns00000EDgRMIA1,ALTA MAREMMA,Direttivo di Club,Direttivo di Club che si è tenuto presso il ristorante Montecristo a Follonica. Odg: approvazione bilanci definitivo annata 2024-2025 e preventivo annata 2025-2026. Tutti approvati all'unanimità,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-09-04,2025-09-04,,0,15,45.00,45.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08097753,001Ns00000EDgRMIA1,ALTA MAREMMA,Gabinetto Distrettuale,"Partecipazione dei soci Mazzone, Bernardini, Puggelli ed Aguggeri al Gabinetto Distrettuale a Chiusi",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-09-13,2025-09-13,,0,4,20.00,20.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08097795,001Ns00000EDgRMIA1,ALTA MAREMMA,TAVOLATA CROCE ROSSA,Raccolta fondi con cena benefica a favore della Croce Rossa di Follonica tenutasi presso la Fonderia n. 1 ex Ilva,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2025-09-13,2025-09-13,,0,16,48.00,48.00,,EUR,400.00,465.95,0,Croce Rossa Follonica,EUR,400.00,465.95,Maurizio Spagnesi
