id_attivita,id_account_club,nome_club_sponsor,titolo,descrizione,stato,rapporto_completo,livello_attivita,causa,tipo_progetto,attivita_distintiva,finanziata_lcif,data_inizio,data_conclusione,persone_servite,persone_servite_limite,totale_volontari,totale_ore_servizio,totale_ore_servizio_capped,alberi_piantati,valuta_fondi_donati,totale_fondi_donati,fondi_donati_usd_capped,donazione_lcif,organizzazione_beneficiata,valuta_fondi_raccolti,totale_fondi_raccolti,fondi_raccolti_usd_capped,creato_da
SA-09508045,001Ns00000EDgRMIA1,ALTA MAREMMA,Congresso Distretto 108 La,"I delegati Puggelli, Bernardini e Aguggeri hanno partecipato a Firenze al Congresso del nostro Distretto",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-16,2026-05-16,,0,3,24.00,24.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09565254,001Ns00000EDgRMIA1,ALTA MAREMMA,Riunione di Circoscrizione,Riunione di Circoscrizione presso lo Stabilimento Balneare Valbona di Castiglione della Pescaia.,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-30,2026-05-30,,0,6,24.00,24.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09565292,001Ns00000EDgRMIA1,ALTA MAREMMA,Codice Rosa,"Contributo al Service ""Codice Rosa""",Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2026-06-01,2026-06-01,,0,,,0.00,,EUR,400.00,465.44,0,Codice Rosa,,,0.00,Maurizio Spagnesi
SA-09565312,001Ns00000EDgRMIA1,ALTA MAREMMA,"Disabilità ""Ass. Biglie Sciolte""","Incontro ed offerta di una giornata in piscina e parco giochi all'Associazione ""Biglie Sciolte"", genitori che si occupano dei bambini autistici.
Presente la Presidente dell'Associazione Elena Chelotti e l'Assessore al Sociale del Comune di Follonica Sandro Marrini.",Comunicato,True,Lions Club,Giovani,Altro,False,False,2026-05-31,2026-05-31,20,20,17,51.00,51.00,,EUR,750.00,878.47,0,Biglie Sciolte,,,0.00,Maurizio Spagnesi
SA-09565358,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta,Attività di Direttore Sanitario e di Psicologo dei soci Spagnesi ed Aguggeri presso l'ambulatorio onlus di Massadotta,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2026-05-04,2026-05-29,20,20,2,24.00,24.00,,EUR,3000.00,3513.87,0,Massadotta,EUR,3000.00,3513.87,Maurizio Spagnesi
SA-09559423,001Ns00000EDgRMIA1,ANTICHE VALLI LUCCHESI,Laboratorio Disabilità Comune di Capannori (LU),Contributo alla creazione di un laboratorio per disabili in collaborazione con il Comune di Capannori (LU),Comunicato,True,Lions Club,Altro servizio umanitario,Evento comunitario,False,False,2026-02-20,2026-02-20,40,40,5,10.00,10.00,,EUR,1500.00,1789.83,0,Comune di Capannori (LU),EUR,1500.00,1789.83,Antonio Tonelli
SA-09509360,001Ns00000EDgRMIA1,Arezzo Chimera,Partecipazione Consiglio Multidistretto Leo 108 Italy,partecipazione al consiglio del Multidistretto Leo 108 Italy con versamento per cena di gala del sabato,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-02-21,2026-02-21,,0,1,4.00,4.00,,USD,50.00,50.00,0,,,,0.00,Giacomo Martini
SA-09581710,001Ns00000EDgRMIA1,Arezzo Chimera,Presenza alla installazione di un DAE a Vogognano LC Casentino,Presenza alla installazione del DAE presso la chiesa di Santa Maria della Neve a Vogognano comune di Subbiano da parte del LC Casentino.,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2026-05-17,2026-05-17,40,40,2,3.00,3.00,,,,0.00,0,,,,0.00,Giuseppina Violetti
SA-09581844,001Ns00000EDgRMIA1,Arezzo Chimera,II Assemblea Soci 2025/2026,"L'assemblea soci si è riunita per la discussione del presente Ordine del Giorno: 
- Elezione Officers Annata Lionistica 2026/2027,
- Discussione sull?ingresso del Club nel Terzo Settore;
- Nomina delegati alla Convention Distrettuale ed alla Multidistrettuale.
- Acquisto dispositivi audio e video per il Club.
- Varie ed eventuali.",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-04-16,2026-04-16,,0,17,51.00,51.00,,,,0.00,0,,,,0.00,Giuseppina Violetti
SA-09502829,001Ns00000EDgRMIA1,CASENTINO,CONCORSO UN POSTER PER LA PACE,Premiazione alla scuola I.C.S. G.GARIBALDI  ? CAPOLONA SUBBIANO - PREMIAZIONE CLASSI TERZE,Comunicato,True,Lions Club,Giovani,Concorso Un Poster per la Pace e Concorso di saggistica,True,False,2026-05-20,2026-05-20,24,24,6,6.00,6.00,,,,0.00,0,,,,0.00,Antonio de Bari
